id,label,family,title,source,cccs_type,status,statement,parameter_values,gc_discussion,profile_note
ca-7.3,CA-7(3),CA,Trend analyses,NIST SP 800-53 Rev. 5.2.0,control,,"Employ trend analyses to determine if control implementations, the frequency of continuous monitoring activities, and the types of activities used in the continuous monitoring process need to be modified based on empirical data.",,"Trend analyses include examining recent threat information that addresses the types of threat events that have occurred in the federal department or agency or the GC, success rates of certain types of attacks, emerging vulnerabilities in technologies, evolving social engineering techniques, the effectiveness of configuration settings, results from multiple control assessments, and findings from Inspectors General or auditors. If the trend analysis involves the use or creation of personal information, individuals should have been informed through a system use notification about this use of their personal information in advance of the analytical work. In addition, consideration should be given to listing this use of the personal information as a consistent use in the associated PIB.",
ca-7.4,CA-7(4),CA,Risk monitoring,NIST SP 800-53 Rev. 5.2.0,control,,"Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following:
a. effectiveness monitoring
b. compliance monitoring
c. change monitoring",,,
ca-7.5,CA-7(5),CA,Consistency analysis,NIST SP 800-53 Rev. 5.2.0,control,,Employ the following actions to validate that policies are established and implemented controls are operating in a consistent manner: [Assignment: organization-defined actions].,,,
ca-7.6,CA-7(6),CA,Automation support for monitoring,NIST SP 800-53 Rev. 5.2.0,control,,"Ensure the accuracy, currency, and availability of monitoring results for the system using [Assignment: organization-defined automated mechanisms].",,,
ca-8,CA-8,CA,Penetration testing,NIST SP 800-53 Rev. 5.2.0,control,,Conduct penetration testing [Assignment: organization-defined frequency] on [Assignment: organization-defined systems or system components].,,,
ca-8.1,CA-8(1),CA,Independent penetration testing agent or team,NIST SP 800-53 Rev. 5.2.0,control,,Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.,,,
ca-8.2,CA-8(2),CA,Red team exercises,NIST SP 800-53 Rev. 5.2.0,control,,Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: [Assignment: organization-defined red team exercises].,,,
ca-8.3,CA-8(3),CA,Facility penetration testing,NIST SP 800-53 Rev. 5.2.0,control,,Employ a penetration testing process that includes [Assignment: organization-defined frequency] [Selection (1 or more): announced; unannounced] attempts to bypass or circumvent controls associated with physical access points to the facility.,,,
ca-9,CA-9,CA,Internal system connections,NIST SP 800-53 Rev. 5.2.0,control,,"A. Authorize internal connections of [Assignment: organization-defined system components or classes of components] to the system
B. Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated
C. Terminate internal system connections after [Assignment: organization-defined conditions]
D. Review [Assignment: organization-defined frequency] the continued need for each internal connection",,,
ca-9.1,CA-9(1),CA,Compliance checks,NIST SP 800-53 Rev. 5.2.0,control,,Perform security and privacy compliance checks on constituent system components prior to the establishment of the internal connection.,,,
cm-1,CM-1,CM,Configuration management policy and procedures,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]
1. [Selection (1 or more): Organization-level; Mission/business process-level; System-level] configuration management policy that
   a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance
   b. is consistent with applicable laws, Orders in Council, directives, regulations, policies, standards, and guidelines
2. procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls
   B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the configuration management policy and procedures
   C. Review and update the current configuration management
3. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
4. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",,,
cm-2,CM-2,CM,Baseline configuration,NIST SP 800-53 Rev. 5.2.0,control,,"A. Develop, document, and maintain under configuration control, a current baseline configuration of the system
B. Review and update the baseline configuration of the system
1. [Assignment: organization-defined frequency]
2. when required due to [Assignment: organization-defined circumstances]
3. when system components are installed or upgraded",,,
cm-2.1,CM-2(1),CM,Reviews and Updates,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cm-2.2,CM-2(2),CM,Automation support for accuracy and currency,NIST SP 800-53 Rev. 5.2.0,control,,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [Assignment: organization-defined automated mechanisms].",,,
cm-2.3,CM-2(3),CM,Retention of previous configurations,NIST SP 800-53 Rev. 5.2.0,control,,Retain [Assignment: organization-defined number] of previous versions of baseline configurations of the system to support rollback.,,,
cm-2.4,CM-2(4),CM,Unauthorized Software,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cm-2.5,CM-2(5),CM,Authorized Software,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cm-2.6,CM-2(6),CM,Development and test environments,NIST SP 800-53 Rev. 5.2.0,control,,Maintain a baseline configuration for system development and test environments that is managed separately from the operational baseline configuration.,,,
cm-2.7,CM-2(7),CM,Configure systems and components for high-risk areas,NIST SP 800-53 Rev. 5.2.0,control,,"a. Issue [Assignment: organization-defined systems or system components] with [Assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk
b. Apply the following controls to the systems or components when the individuals return from travel: [Assignment: organization-defined controls]",,,
cm-3,CM-3,CM,Configuration change control,NIST SP 800-53 Rev. 5.2.0,control,,"A. Determine and document the types of changes to the system that are configuration-controlled
B. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses
C. Document configuration change decisions associated with the system
D. Implement approved configuration-controlled changes to the system
E. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period]
F. Monitor and review activities associated with configuration-controlled changes to the system
G. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (1 or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]]",,"For changes that impact privacy risk, the appropriate privacy senior official or executive updates PIAs and PIBs.",
cm-3.1,CM-3(1),CM,"Automated documentation, notification, and prohibition of changes",NIST SP 800-53 Rev. 5.2.0,control,,"Use [Assignment: organization-defined automated mechanisms] to:
a. document proposed changes to the system
b. notify [Assignment: organization-defined approval authorities] of proposed changes to the system and request change approval
c. highlight proposed changes to the system that have not been approved or disapproved within [Assignment: organization-defined time period]
d. prohibit changes to the system until designated approvals are received
e. document all changes to the system
f. notify [Assignment: organization-defined personnel] when approved changes to the system are completed",,,
cm-3.2,CM-3(2),CM,"Testing, validation, and documentation of changes",NIST SP 800-53 Rev. 5.2.0,control,,"Test, validate, and document changes to the system before finalizing the implementation of the changes.",,,
cm-3.3,CM-3(3),CM,Automated change implementation,NIST SP 800-53 Rev. 5.2.0,control,,Implement changes to the current system baseline and deploy the updated baseline across the installed base using [Assignment: organization-defined automated mechanisms].,,,
cm-3.4,CM-3(4),CM,Security and privacy representatives,NIST SP 800-53 Rev. 5.2.0,control,,Require [Assignment: organization-defined security and privacy representatives] to be members of the [Assignment: organization-defined configuration change control element].,,,
cm-3.5,CM-3(5),CM,Automated security response,NIST SP 800-53 Rev. 5.2.0,control,,Implement the following security responses automatically if baseline configurations are changed in an unauthorized manner: [Assignment: organization-defined security responses].,,,
cm-3.6,CM-3(6),CM,Cryptography management,NIST SP 800-53 Rev. 5.2.0,control,,Ensure that cryptographic mechanisms used to provide the following controls are under configuration management: [Assignment: organization-defined controls].,,,
cm-3.7,CM-3(7),CM,Review system changes,NIST SP 800-53 Rev. 5.2.0,control,,Review changes to the system [Assignment: organization-defined frequency] or when [Assignment: organization-defined circumstances] to determine whether unauthorized changes have occurred.,,,
cm-3.8,CM-3(8),CM,Prevent or restrict configuration changes,NIST SP 800-53 Rev. 5.2.0,control,,Prevent or restrict changes to the configuration of the system under the following circumstances: [Assignment: organization-defined circumstances].,,,
cm-4,CM-4,CM,Impact analyses,NIST SP 800-53 Rev. 5.2.0,control,,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,,"If the system facilitates automated decision-making, it may also be a requirement to complete and release the final results of an algorithmic impact assessment prior to the production of any automated decision system.",
cm-4.1,CM-4(1),CM,Separate test environments,NIST SP 800-53 Rev. 5.2.0,control,,"Analyze changes to the system in a separate test environment before implementation in an operational environment, looking for security and privacy impacts due to flaws, weaknesses, incompatibility, or intentional malice.",,,
cm-4.2,CM-4(2),CM,Verification of controls,NIST SP 800-53 Rev. 5.2.0,control,,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.",,,
cm-5,CM-5,CM,Access restrictions for change,NIST SP 800-53 Rev. 5.2.0,control,,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",,,
cm-5.1,CM-5(1),CM,Automated access enforcement and audit records,NIST SP 800-53 Rev. 5.2.0,control,,"a. Enforce access restrictions using [Assignment: organization-defined automated mechanisms]
b. Automatically generate audit records of the enforcement actions",,,
cm-5.2,CM-5(2),CM,Review System Changes,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cm-5.3,CM-5(3),CM,Signed Components,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
